#GENE	ALL_0.1%	%ALL_0.1%
ACTR8	-0.62	17.31
ACTRT1	0.37	75.43
ACTRT2	0.49	79.46
ACTRT3	0.95	90.01
ACVR1	-0.51	21.41
ACVR1B	-0.41	26.23
ACVR1C	-0.05	50.01
ACVR2A	-0.34	30.07
ACVR2B	-0.78	12.88
ACVRL1	-1.02	8
ACY1	0.33	73.54
ACY3	-0.24	36.17
ACYP1	-0.03	51.04
ACYP2	0.08	59.76
ADA	-0.09	46.92
ADAD1	-0.23	37.32
ADAD2	0.14	63.65
ADAL	0.26	70.26
ADAM10	-0.38	27.69
ADAM11	-1.07	7.43
ADAM12	0.01	54.16
ADAM15	-0.57	19.01
ADAM17	0.6	82.78
ADAM18	0.59	82.35
ADAM19	0.92	89.57
ADAM2	0.87	88.87
ADAM20	-0.13	44.03
ADAM21	-0.11	45.57
ADAM22	-0.55	19.93
ADAM23	-0.04	50.45
ADAM28	0.76	86.85
ADAM29	0.11	62.14
ADAM30	-0.31	32.23
ADAM32	0.38	75.63
ADAM33	0.8	87.69
ADAM7	0.12	62.21
ADAM8	NA	NA
ADAM9	-0.2	38.98
ADAMDEC1	1.4	94.72
ADAMTS1	0.07	59.17
ADAMTS10	-1.32	4.78
ADAMTS12	0.87	88.75
ADAMTS13	0.62	83.42
ADAMTS14	-0.55	19.87
ADAMTS15	0.68	84.75
ADAMTS16	0.68	84.77
ADAMTS17	-2.27	1.26
ADAMTS18	-0.09	47
ADAMTS19	-0.55	19.93
ADAMTS2	-1.8	2.22
ADAMTS20	-0.75	13.58
ADAMTS3	-0.65	16.14
ADAMTS4	0.09	60.71
ADAMTS5	0.25	69.62
ADAMTS6	-0.57	18.9
ADAMTS7	2.52	98.68
ADAMTS8	0.67	84.74
ADAMTS9	-2.39	1.08
ADAMTSL1	-0.86	10.9
ADAMTSL2	NA	NA
ADAMTSL3	0.33	73.63
ADAMTSL4	0	53.51
ADAMTSL5	0.44	77.85
ADAP1	-0.93	9.55
ADAP2	-0.45	24
ADAR	-0.64	16.71
ADARB1	-0.8	12.33
ADARB2	-0.51	21.8
ADAT1	0.8	87.66
ADAT2	0.19	66.82
ADAT3	NA	NA
ADC	7.61E-05	53.98
ADCK1	-1.15	6.27
ADCK2	0.69	85.26
ADCK3	-1.7	2.55
ADCK4	0.03	55.79
ADCK5	0	53.73
ADCY1	-1.39	4.25
ADCY10	0.64	83.79
ADCY2	0.12	62.17
ADCY3	-2.17	1.42
ADCY4	-2.32	1.19
ADCY5	-2.39	1.1
ADCY6	-1.19	5.9
ADCY7	-3.02	0.51
ADCY8	-1.28	5.17
ADCY9	-1.78	2.28
ADCYAP1	-0.19	39.68
ADCYAP1R1	-0.16	41.91
ADD1	-0.93	9.68
ADD2	-0.26	34.95
ADD3	0.16	64.82
ADH1A	-0.45	24
ADH1B	0.55	81.55
ADH4	0.17	65.96
ADH5	0.19	66.82
ADH6	-0.32	31.69
ADH7	0.22	68.38
ADHFE1	-0.45	24.33
ADI1	-0.21	38.58
ADIG	0.08	59.76
ADIPOQ	0.13	63.2
ADIPOR1	-0.3	32.62
ADIPOR2	0.28	71.08
ADK	-0.34	30.07
ADM	0.24	68.98
ADM2	NA	NA
ADNP	-1.41	4.13
ADNP2	-1.5	3.6
ADO	0.08	59.76
ADORA1	-0.2	38.82
ADORA2A	-0.11	45.26
ADORA2B	0.64	83.9
ADORA3	-0.09	47.12
ADPGK	0.13	63.2
ADPRH	-0.45	24.19
ADPRHL1	0.27	70.58
ADPRHL2	-0.58	18.59
ADPRM	0.08	60.31
ADRA1A	0.16	64.82
ADRA1B	-0.6	17.75
ADRA1D	NA	NA
ADRA2A	NA	NA
ADRA2B	-0.25	35.99
ADRA2C	NA	NA
ADRB1	NA	NA
ADRB2	0.42	77.06
ADRB3	0.08	60.09
ADRBK1	-1.16	6.17
ADRBK2	-0.73	14.02
ADRM1	0.06	58.85
ADSL	-0.6	18.06
ADSS	0.01	54.95
ADSSL1	-0.02	52.25
ADTRP	0.44	77.7
AEBP1	0.12	62.21
AEBP2	-0.01	52.85
AEN	0.78	87.18
AES	-0.27	33.97
AF196779.12	NA	NA
AFAP1	-1.96	1.84
AFAP1L1	-0.12	44.1
AFAP1L2	0.79	87.3
AFF1	-1.18	5.91
AFF2	-1.08	7.2
AFF3	-1.46	3.89
AFF4	-0.55	19.8
AFG3L2	-0.6	17.91
AFM	0.49	79.46
AFMID	0.62	83.36
AFP	0.29	71.57
AFTPH	0.18	66.24
AGA	0.75	86.71
AGAP1	-2.39	1.1
AGAP2	-0.18	40.56
AGAP2-AS1	NA	NA
AGAP3	-1	8.54
AGAP4	NA	NA
AGAP5	NA	NA
AGAP6	NA	NA
AGAP7	NA	NA
AGAP8	NA	NA
AGAP9	NA	NA
AGBL1	NA	NA
AGBL2	0.36	74.68
AGBL3	1.75	96.67
AGBL4	0.62	83.25
AGBL5	-0.99	8.6
AGER	0.6	82.74
AGFG1	-0.36	28.93
AGFG2	0.95	90.06
AGGF1	-0.09	47.06
AGK	0.4	76.15
AGL	1.86	97.16
AGMAT	0.11	61.91
AGMO	0.4	76.45
AGPAT1	0.15	64.11
AGPAT2	0.2	67.3
AGPAT3	-0.49	22.36
AGPAT4	-0.51	21.41
AGPAT5	-0.51	21.56
AGPAT6	-0.41	26.23
AGPAT9	-0.09	46.99
AGPHD1	0.53	80.82
AGPS	-0.38	27.42
AGR2	-0.14	42.88
AGR3	-0.19	39.68
AGRN	-0.22	37.33
AGRP	-0.01	53.19
AGT	0.49	79.61
AGTPBP1	-1.08	7.2
AGTR1	0.11	61.73
AGTR2	0.31	72.23
AGTRAP	-0.12	45.13
AGXT	0.64	84.1
AGXT2	0.89	89.27
AGXT2L1	0	53.85
AGXT2L2	0.09	60.57
AHCTF1	0.54	81.02
AHCY	-0.07	48.69
AHCYL1	-0.43	25.15
AHCYL2	-0.43	25.15
AHDC1	-1.1	6.98
AHI1	0.46	78.07
AHNAK	-2.83	0.61
AHNAK2	27.6	99.99
AHR	-0.31	32.23
AHRR	1	90.79
AHSA1	-0.32	31.69
AHSA2	-0.34	30.07
AHSG	0.69	85.18
AHSP	0.41	76.67
AICDA	0.04	56.92
AIDA	-0.12	44.54
AIF1	0.15	64.11
AIF1L	0.55	81.22
AIFM1	-0.27	34.6
AIFM2	-0.4	26.93
AIFM3	-0.19	39.24
AIG1	-0.34	30.07
AIM1	2.11	97.91
AIM1L	NA	NA
AIM2	0.04	56.92
AIMP1	0.08	60.31
AIMP2	-0.36	29.31
AIP	-0.14	43.77
AIPL1	1.64	96.17
AIRE	-0.57	19.01
AJAP1	0.42	77.06
AJUBA	NA	NA
AK1	-0.14	43.57
AK2	0.22	68.13
AK3	0.06	58.74
AK4	-0.08	47.79
AK5	-0.8	12.33
AK6	NA	NA
AK7	-0.24	36.28
AK8	0.07	59.04
AKAP1	0.19	66.27
AKAP10	7.61E-05	53.98
AKAP11	1.45	95.1
AKAP12	0.91	89.55
AKAP13	1.99	97.64
AKAP14	0.08	59.76
AKAP17A	-0.63	16.78
AKAP2	1.46	95.16
AKAP3	1.21	93.03
AKAP4	0.67	84.61
AKAP5	0.73	86.08
AKAP6	0.3	71.65
AKAP7	1.64	96.13
AKAP8	0.5	79.66
AKAP8L	-0.34	30.56
AKAP9	0.22	68.45
AKD1	1.72	96.5
AKIP1	1.06	91.47
AKIRIN1	NA	NA
AKIRIN2	NA	NA
AKNA	0.38	75.52
AKNAD1	0.83	88.11
AKR1A1	0.31	72.6
AKR1B1	-0.18	40.16
AKR1B10	0.37	75.43
AKR1B15	0.02	55.69
AKR1C1	-0.09	46.92
AKR1C2	-0.09	46.74
AKR1C3	0.78	87.14
AKR1C4	0	53.85
AKR1D1	-0.65	16.36
AKR1E2	0.62	83.36
AKR7A2	0.71	85.68
AKR7A3	1.89	97.3
AKR7L	NA	NA
AKT1	-1	8.32
AKT1S1	-0.2	38.82
AKT2	-0.65	16.36
AKT3	-0.25	35.42
AKTIP	0.01	54.95
AL031666.2	NA	NA
AL133373.1	NA	NA
AL133481.1	NA	NA
AL138764.1	NA	NA
AL163636.6	NA	NA
AL359736.1	NA	NA
AL441883.1	NA	NA
AL445989.1	NA	NA
AL583828.1	NA	NA
AL592284.1	NA	NA
AL627171.2	NA	NA
ALAD	-0.56	19.54
ALAS1	-0.11	45.49
ALAS2	0.13	63.36
ALB	-0.89	10.37
ALCAM	0.2	67.3
ALDH16A1	0.44	77.36
ALDH18A1	-0.93	9.61
ALDH1A1	-0.54	20.54
ALDH1A2	-0.45	24.33
ALDH1A3	-0.58	18.72
ALDH1B1	-0.04	50.45
ALDH1L1	-0.16	40.68
ALDH1L2	-1.08	7.24
ALDH2	-0.84	11.18
ALDH3A1	0.11	62.14
ALDH3A2	-0.11	45.36
ALDH3B1	NA	NA
ALDH3B2	2.09	97.85
ALDH4A1	0.21	67.52
ALDH5A1	0.4	76.36
ALDH6A1	-0.4	26.73
ALDH7A1	-0.47	23.43
ALDH8A1	-0.57	18.9
ALDH9A1	-0.02	52.15
ALDOA	-0.58	18.59
ALDOB	0.06	58.74
ALDOC	-0.58	18.59
ALG1	0.04	57.41
ALG10	-0.29	33.2
ALG10B	1.55	95.64
ALG11	-0.49	22.51
ALG12	-0.64	16.68
ALG13	-1	8.37
ALG14	0.19	66.82
ALG1L	1.66	96.24
ALG2	0.24	69.37
ALG3	-0.6	17.91
ALG5	0.08	60.09
ALG6	0.29	71.5
ALG8	0.49	79.46
ALG9	0.51	80.1
ALK	-2.24	1.3
ALKBH1	0.15	64.61
ALKBH2	0.37	75.29
ALKBH3	0.4	76.31
ALKBH4	-0.07	48.35
ALKBH5	-0.41	26.23
ALKBH6	NA	NA
ALKBH7	NA	NA
ALKBH8	1.24	93.42
ALLC	1	90.69
ALMS1	2.29	98.28
ALOX12	0.8	87.66
ALOX12B	-0.62	17.4
ALOX15	-0.13	44.05
ALOX15B	0.98	90.46
ALOX5	-0.95	9.21
ALOX5AP	-0.23	36.86
ALOXE3	-1	8.54
ALPI	-0.39	27.03
ALPK1	1.46	95.18
ALPK2	4.93	99.8
ALPK3	0.23	68.55
ALPL	7.61E-05	53.98
ALPP	1.36	94.44
ALPPL2	0.47	78.8
ALS2	-1.46	3.89
ALS2CL	-0.92	9.81
ALS2CR11	2.54	98.71
ALS2CR12	-0.73	14.08
ALS2CR8	0.16	64.82
ALX1	0.31	72.38
ALX3	-0.25	35.75
ALX4	-0.45	24.33
ALYREF	NA	NA
AMACR	1.42	94.89
AMBN	1.55	95.64
AMBP	-0.49	22.65
AMBRA1	-0.97	8.95
AMD1	-0.1	46.2
AMDHD1	0	53.85
AMDHD2	-0.2	39.21
AMELX	0.06	58.26
AMELY	NA	NA
AMFR	-1.09	7.05
AMH	NA	NA
AMHR2	-0.93	9.47
AMICA1	0.6	82.74
AMIGO1	0.04	56.92
AMIGO2	-0.82	11.68
AMIGO3	-0.03	51.92
AMMECR1	-0.1	46.2
AMMECR1L	0.19	66.82
AMN	NA	NA
AMN1	-0.1	46.2
AMOT	0.22	68.44
AMOTL1	-0.44	24.68
AMOTL2	0.8	87.72
AMPD1	0.07	59.17
AMPD2	-1.46	3.79
AMPD3	-0.21	37.74
AMPH	0.23	68.52
AMT	-0.38	28.01
AMTN	1.3	93.95
AMY1A	NA	NA
AMY1B	NA	NA
AMY1C	NA	NA
AMY2A	NA	NA
AMY2B	0.11	62
AMZ1	0.26	69.84
AMZ2	0.51	80.1
ANAPC1	NA	NA
ANAPC10	0.24	68.72
ANAPC11	0.26	70.06
ANAPC13	-0.05	49.39
ANAPC15	0.08	59.43
ANAPC16	0.46	78.16
ANAPC2	-1.66	2.72
ANAPC4	-0.8	12.33
ANAPC5	-0.55	19.8
ANAPC7	0.46	78.59
ANG	0.24	68.98
ANGEL1	0.58	82.3
ANGEL2	-0.11	45.36
ANGPT1	-0.34	30.37
ANGPT2	-0.42	25.73
ANGPT4	0.09	60.65
ANGPTL1	-0.6	18.06
ANGPTL2	-0.87	10.73
ANGPTL3	-0.11	45.26
ANGPTL4	0.11	61.91
ANGPTL5	0.37	75.43
ANGPTL6	NA	NA
ANGPTL7	0.17	65.76
ANHX	NA	NA
ANK1	-3.14	0.45
ANK2	-3.33	0.41
ANK3	-3.5	0.34
ANKAR	2.94	99.16
ANKDD1A	-0.24	36.28
ANKDD1B	NA	NA
ANKFN1	0.6	82.83
ANKFY1	-1.75	2.36
ANKH	-0.38	28.01
ANKHD1	-2.36	1.14
ANKHD1-EIF4EBP3	-2.53	0.89
ANKIB1	-0.73	14.08
ANKK1	3.85	99.64
ANKLE1	2.8	99.05
ANKLE2	-0.08	47.22
ANKMY1	-0.23	37.13
ANKMY2	-0.02	52.09
ANKRA2	-0.32	31.46
ANKRD1	0.17	65.76
ANKRD10	0.04	57.15
ANKRD11	-4.38	0.09
ANKRD12	-0.11	45.36
ANKRD13A	-0.6	18.06
ANKRD13B	-0.76	13.33
ANKRD13C	-0.4	26.53
ANKRD13D	-0.98	8.8
ANKRD16	0.71	85.63
ANKRD17	-2.94	0.55
ANKRD18A	2.7	98.91
ANKRD18B	NA	NA
ANKRD2	-0.05	50.22
ANKRD20A1	NA	NA
ANKRD20A2	NA	NA
ANKRD20A3	NA	NA
ANKRD20A4	NA	NA
ANKRD22	0.68	84.93
ANKRD23	0.13	63.2
ANKRD24	1.88	97.23
ANKRD26	2.15	97.98
ANKRD27	-1.56	3.21
ANKRD28	-0.8	12.49
ANKRD29	-0.38	27.69
ANKRD30A	2.7	98.9
ANKRD30B	1.06	91.51
ANKRD31	NA	NA
ANKRD32	-0.27	34.6
ANKRD33	1.11	92.07
ANKRD33B	NA	NA
ANKRD34A	-0.49	22.09
ANKRD34B	0.33	73.61
ANKRD34C	0.12	62.38
ANKRD35	0.88	88.89
ANKRD36	NA	NA
ANKRD37	0.5	79.89
ANKRD39	-0.14	43.29
ANKRD40	-0.1	46.49
ANKRD42	0.06	58.74
ANKRD44	-0.38	27.69
ANKRD45	0.66	84.35
ANKRD46	0.13	62.74
ANKRD49	-0.23	36.86
ANKRD5	-0.37	28.26
ANKRD50	-1.74	2.39
ANKRD52	-0.91	10.03
ANKRD53	1.27	93.6
ANKRD54	NA	NA
ANKRD55	0.16	64.85
ANKRD6	0.07	59.16
ANKRD61	NA	NA
ANKRD62	NA	NA
ANKRD65	NA	NA
ANKRD66	NA	NA
ANKRD7	0.75	86.48
ANKRD9	NA	NA
ANKS1A	-1.25	5.36
ANKS1B	-1.22	5.67
ANKS3	0.01	54.16
ANKS4B	0.17	65.76
ANKS6	-0.35	29.59
ANKZF1	0.61	82.93
ANLN	-1.15	6.33
ANO1	-1.52	3.44
ANO10	0.96	90.15
ANO2	-0.34	29.63
ANO3	-1.35	4.58
ANO4	-0.78	12.97
ANO5	0.58	82.34
ANO6	-0.08	47.2
ANO7	0.27	70.59
ANO8	-1.42	4.1
ANO9	-0.26	34.98
ANP32A	-0.08	47.79
ANP32B	-0.16	41.25
ANP32D	0.7	85.42
ANP32E	0.17	65.33
ANPEP	-0.98	8.65
ANTXR1	-0.91	10.03
ANTXR2	0.57	82.08
ANTXRL	NA	NA
ANXA1	-0.32	31.69
ANXA10	0.82	87.95
ANXA11	0.49	79.61
ANXA13	0.49	79.52
ANXA2	0.02	55.45
ANXA2R	0.57	81.89
ANXA3	1.24	93.35
ANXA4	0.66	84.55
ANXA5	0.13	63.2
ANXA6	-1.13	6.51
ANXA7	-0.16	42.16
ANXA8	NA	NA
ANXA8L1	NA	NA
ANXA8L2	NA	NA
ANXA9	0.53	80.88
AOAH	0.96	90.15
AOC2	-0.12	44.1
AOC3	0.78	87.26
AOX1	-1.23	5.56
AP000349.1	NA	NA
AP000350.4	NA	NA
AP000695.1	NA	NA
AP000721.4	NA	NA
AP000867.1	NA	NA
AP000889.3	NA	NA
AP1AR	0.33	73.27
AP1B1	-1.53	3.41
AP1G1	-0.76	13.45
AP1G2	-1.24	5.52
AP1M1	-0.87	10.65
AP1M2	-0.87	10.73
AP1S1	-0.1	46.2
AP1S2	0.06	58
AP1S3	1.3	93.94
AP2A1	-1.46	3.78
AP2A2	-1.77	2.3
AP2B1	-0.96	9.09
AP2M1	-0.14	42.88
AP2S1	0.01	54.63
AP3B1	0.43	77.29
AP3B2	-1.62	2.93
AP3D1	-2.28	1.24
AP3M1	-0.4	26.53
AP3M2	-0.54	20.26
AP3S1	0.39	75.87
AP3S2	-0.18	39.95
AP4B1	-0.13	44.03
AP4E1	-0.66	16.07
AP4M1	-1.18	5.97
AP4S1	-0.36	28.63
AP5B1	NA	NA
AP5M1	0.66	84.55
AP5S1	0.08	60.31
AP5Z1	-0.6	17.52
APAF1	-0.08	47.2
APBA1	-1.44	3.96
APBA2	-1.39	4.31
APBA3	0.89	89.27
APBB1	-0.55	19.93
APBB1IP	-0.07	48.54
APBB2	-0.37	28.16
APBB3	0.18	66.13
APC	-2.52	0.9
APC2	NA	NA
APCDD1	-1.37	4.45
APCDD1L	0.42	77.16
APCS	-0.05	49.76
APEH	-0.78	12.97
APEX1	0.08	60.31
APEX2	-0.56	19.54
APH1A	0.13	62.74
APH1B	0.53	80.73
API5	-0.34	30.07
APIP	0.68	85.04
APITD1	0.21	67.72
APITD1-CORT	-0.16	41.25
APLF	1.07	91.61
APLN	NA	NA
APLNR	-0.62	17.31
APLP1	-0.68	15.36
APLP2	-0.71	14.67
APMAP	0.58	82.3
APOA1	-0.47	23.04
APOA1BP	-0.4	26.53
APOA2	-0.03	51.04
APOA4	0.36	74.66
APOA5	0.42	77.06
APOB	1.42	94.85
APOBEC1	1.13	92.16
APOBEC2	0.55	81.38
APOBEC3A	0.37	75.12
APOBEC3B	2.2	98.12
APOBEC3C	-0.27	34.32
APOBEC3D	-0.16	42.06
APOBEC3F	1.18	92.78
APOBEC3G	0.07	58.96
APOBEC3H	0.71	85.53
APOBEC4	2.11	97.88
APOBR	NA	NA
APOC1	-0.05	49.39
APOC2	0.77	86.95
APOC3	0.37	74.95
APOC4	0.82	87.87
APOD	0.77	87.01
APOE	NA	NA
APOF	0.73	86.08
APOH	0.95	90.09
APOL1	1.45	95.12
APOL2	0.2	67.3
APOL3	1.18	92.78
APOL4	NA	NA
APOL5	0.89	89.19
APOL6	-0.2	38.98
APOLD1	NA	NA
APOM	0.13	62.74
APOO	0.53	80.58
APOOL	-0.07	48.12
APOPT1	0.01	54.95
APP	-0.98	8.8
APPBP2	-0.4	26.53
APPL1	0.04	57.41
APPL2	-1.02	8.1
APRT	-0.1	46.49
APTX	0.46	78.59
AQP1	0.04	57.15
AQP10	0.1	61.49
AQP11	0.51	80.01
AQP12A	NA	NA
AQP12B	NA	NA
AQP2	-0.52	21.2
AQP3	-0.3	32.62
AQP4	-0.07	48.54
AQP5	-0.34	30.37
AQP6	0.42	77.06
AQP7	0.11	61.91
AQP8	0.26	70.44
AQP9	-0.23	37.32
AQPEP	1.37	94.46
AQR	-1.02	8.14
AR	-0.62	17.31
ARAF	-0.49	22.36
ARAP1	-1.45	3.93
ARAP2	-0.18	40.17
ARAP3	-0.71	14.41
ARC	-0.36	28.63
ARCN1	-0.63	17.03
AREG	NA	NA
ARF1	-0.14	42.88
ARF3	-0.03	51.04
ARF4	0.06	58
ARF5	0.01	54.63
ARF6	-0.14	42.88
ARFGAP1	-0.11	45.49
ARFGAP2	0.53	80.88
ARFGAP3	1.07	91.67
ARFGEF1	-1.75	2.37
ARFGEF2	-2.39	1.1
ARFIP1	0.11	61.73
ARFIP2	-0.43	25.15
ARFRP1	-0.14	43.29
ARG1	-0.25	35.75
ARG2	-0.05	50.22
ARGFX	0.33	73.27
ARGLU1	-0.1	46.2
ARHGAP1	-0.14	43.57
ARHGAP10	1.09	91.91
ARHGAP11A	-0.21	37.74
ARHGAP11B	0.17	65.56
ARHGAP12	-0.82	11.94
ARHGAP15	-0.62	17.16
ARHGAP17	-1.59	3.07
ARHGAP18	-0.8	12.49
ARHGAP19	0.35	74.49
ARHGAP19-SLIT1	NA	NA
ARHGAP20	-0.39	27.05
ARHGAP21	-0.78	12.78
ARHGAP22	-0.4	26.98
ARHGAP23	NA	NA
ARHGAP24	-0.62	17.45
ARHGAP25	0.76	86.82
ARHGAP26	-0.87	10.73
ARHGAP27	NA	NA
ARHGAP28	-0.35	29.49
ARHGAP29	-1.48	3.69
ARHGAP30	-0.97	8.98
ARHGAP31	0.59	82.35
ARHGAP32	-2.15	1.45
ARHGAP33	-1.46	3.86
ARHGAP35	-1.81	2.17
ARHGAP36	-0.76	13.33
ARHGAP39	-1.39	4.31
ARHGAP4	0.16	64.92
